destination,budget,season,travel_type,day,time_slot,activity
Goa,Low,Summer,Adventure,1,Morning,Baga Beach Water Sports
Goa,Low,Summer,Adventure,1,Afternoon,Lunch & Rest at Beach Shack
Goa,Low,Summer,Adventure,1,Evening,Sunset at Vagator Beach
Goa,Low,Summer,Relaxation,1,Morning,Dudhsagar Waterfall Trek
Goa,Low,Summer,Relaxation,1,Afternoon,Local Goan Lunch
Goa,Low,Summer,Relaxation,1,Evening,Spice Plantation Visit
Goa,Low,Summer,Adventure,2,Morning,Old Goa Churches Tour
Goa,Low,Summer,Adventure,2,Afternoon,Fontainhas Heritage Walk
Goa,Low,Summer,Adventure,2,Evening,Mandovi River Cruise
Goa,Low,Summer,Relaxation,2,Morning,Scuba Diving at Grande Island
Goa,Low,Summer,Relaxation,2,Afternoon,Lunch & Rest
Goa,Low,Summer,Relaxation,2,Evening,Anjuna Night Market
Goa,Low,Summer,Adventure,3,Morning,Butterfly Beach Visit
Goa,Low,Summer,Adventure,3,Afternoon,Resort Leisure Time
Goa,Low,Summer,Adventure,3,Evening,Beachside Dinner
Goa,Low,Summer,Relaxation,3,Morning,Reis Magos Fort Visit
Goa,Low,Summer,Relaxation,3,Afternoon,Goan Thali Lunch
Goa,Low,Summer,Relaxation,3,Evening,Casino Night
Goa,Low,Summer,Adventure,4,Morning,Parasailing
Goa,Low,Summer,Adventure,4,Afternoon,Spa & Massage
Goa,Low,Summer,Adventure,4,Evening,Sunset Photography
Goa,Low,Summer,Relaxation,4,Morning,Divar Island Cycling
Goa,Low,Summer,Relaxation,4,Afternoon,Local Café Hopping
Goa,Low,Summer,Relaxation,4,Evening,Quiet Beach Walk
Goa,Low,Summer,Adventure,5,Morning,Local Market Shopping
Goa,Low,Summer,Adventure,5,Afternoon,Seafood Experience
Goa,Low,Summer,Adventure,5,Evening,Live Music Club
Goa,Low,Summer,Relaxation,5,Morning,Free Exploration
Goa,Low,Summer,Relaxation,5,Afternoon,Packing & Rest
Goa,Low,Summer,Relaxation,5,Evening,Farewell Dinner
Goa,Low,Summer,Adventure,6,Morning,cafe hopping
Goa,Low,Summer,Adventure,6,Afternoon,Baga Beach Water Sports
Goa,Low,Summer,Adventure,6,Evening,Lunch & Rest at Beach Shack
Goa,Low,Summer,Relaxation,6,Morning,Sunset at Vagator Beach
Goa,Low,Summer,Relaxation,6,Afternoon,Dudhsagar Waterfall Trek
Goa,Low,Summer,Relaxation,6,Evening,Local Goan Lunch
Goa,Low,Summer,Adventure,7,Morning,Spice Plantation Visit
Goa,Low,Summer,Adventure,7,Afternoon,Old Goa Churches Tour
Goa,Low,Summer,Adventure,7,Evening,Fontainhas Heritage Walk
Goa,Low,Summer,Relaxation,7,Morning,Mandovi River Cruise
Goa,Low,Summer,Relaxation,7,Afternoon,Scuba Diving at Grande Island
Goa,Low,Summer,Relaxation,7,Evening,Lunch & Rest
Goa,Low,Summer,Adventure,8,Morning,Anjuna Night Market
Goa,Low,Summer,Adventure,8,Afternoon,Butterfly Beach Visit
Goa,Low,Summer,Adventure,8,Evening,Resort Leisure Time
Goa,Low,Summer,Relaxation,8,Morning,Beachside Dinner
Goa,Low,Summer,Relaxation,8,Afternoon,Reis Magos Fort Visit
Goa,Low,Summer,Relaxation,8,Evening,Goan Thali Lunch
Goa,Low,Summer,Adventure,9,Morning,Casino Night
Goa,Low,Summer,Adventure,9,Afternoon,Parasailing
